iter	Logloss
0	0.5530941583
1	0.4262463555
2	0.3584792567
3	0.2919458492
4	0.2428361671
5	0.1904034818
6	0.1631319957
7	0.1345968619
8	0.1214881611
9	0.1033077237
10	0.09610822672
11	0.08460872519
12	0.07140921012
13	0.06233354631
14	0.05489591843
15	0.05015741786
16	0.04645800792
17	0.04310212101
18	0.04025511881
19	0.03817837984
20	0.03680037108
21	0.03561622184
22	0.03459372466
23	0.03361290215
24	0.03263713368
25	0.03166141786
26	0.03087364584
27	0.03036035266
28	0.03015922459
29	0.02973048287
30	0.02949484925
31	0.02916566584
32	0.02857053053
33	0.02840657326
34	0.02840055079
35	0.0283926019
36	0.02799761361
37	0.02780101159
38	0.02778746404
39	0.02778235466
40	0.02777846435
41	0.02755866034
42	0.0275536226
43	0.02738910591
44	0.02731299336
45	0.02727889502
46	0.0271777676
47	0.02696888829
48	0.02696063446
49	0.02695607479
50	0.02695358561
51	0.02694753518
52	0.02691305386
53	0.02690913834
54	0.02690783963
55	0.0268972677
56	0.02686714983
57	0.02686329576
58	0.02648851338
59	0.02648851295
60	0.02624513714
61	0.02624238424
62	0.02624238398
63	0.02606081152
64	0.0259738996
65	0.02581836346
66	0.02581214845
67	0.02568951183
68	0.02556619002
69	0.02552944261
70	0.0255294417
71	0.02552716191
72	0.02551912184
73	0.02551911683
74	0.02551686319
75	0.02543246231
76	0.0254313877
77	0.02542158894
78	0.02541982763
79	0.02540978301
80	0.02534702212
81	0.0252959888
82	0.0252903836
83	0.02525166395
84	0.02525129372
85	0.02523909393
86	0.02522653405
87	0.02514078893
88	0.02513650183
89	0.02513650181
90	0.02509086055
91	0.02502789523
92	0.02502125205
93	0.0250139805
94	0.02500524792
95	0.02498236898
96	0.02497825509
97	0.02494810346
98	0.02494676049
99	0.02491081321
100	0.02491076164
101	0.02487598119
102	0.02487116077
103	0.02480674918
104	0.02480674621
105	0.02480674561
106	0.0248035057
107	0.02480229967
108	0.02469005726
109	0.02468641064
110	0.02468073702
111	0.02462653011
112	0.02462650808
113	0.02460591544
114	0.02460587396
115	0.02460586383
116	0.02460586364
117	0.02459281797
118	0.02459248635
119	0.02459178222
120	0.02458920729
121	0.02458837643
122	0.02458556733
123	0.02458506772
124	0.02457750169
125	0.02456232204
126	0.02455785196
127	0.02451852866
128	0.02447390475
129	0.02447302752
130	0.02446941004
131	0.02446940906
132	0.02446937903
133	0.02445948382
134	0.02443562546
135	0.02440866311
136	0.02439408056
137	0.0243297679
138	0.02432609561
139	0.02432254285
140	0.02432254222
141	0.02431991221
142	0.02431344818
143	0.02431344811
144	0.02430513159
145	0.02430201837
146	0.02422444825
147	0.02422134862
148	0.0242178487
149	0.02421783995
150	0.02421303452
151	0.02412118803
152	0.024117654
153	0.02411640458
154	0.02411282773
155	0.02410207446
156	0.02409762699
157	0.02409762536
158	0.02406745289
159	0.0240660103
160	0.02405657283
161	0.02405657231
162	0.02405308992
163	0.02405130781
164	0.02405128129
165	0.02404883107
166	0.02402860369
167	0.0240267698
168	0.02398101722
169	0.02394087848
170	0.02392464184
171	0.0239155053
172	0.02391329395
173	0.02390795381
174	0.02389193848
175	0.02386499777
176	0.02386364716
177	0.02386364683
178	0.02379698623
179	0.02377430228
180	0.02377009203
181	0.02374654695
182	0.02374653806
183	0.02374283139
184	0.02374282932
185	0.02374111171
